URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,SchoolCapacity,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Trusts (name),FederationFlag (name),Federations (name),UKPRN,GOR (name),UrbanRural (name),GSSLACode (name),Easting,Northing,UPRN
114038,840,County Durham,2257,Shotley Bridge Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,420,390,195,195,9.5,,Not under a federation,,10072177,North East,(England/Wales) Urban city and town,E06000047,409696,552985,2.00E+11
114039,840,County Durham,2259,Leadgate Primary School - Split Site,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,210,118,92,42.3,,Not under a federation,,10070843,North East,(England/Wales) Urban city and town,E06000047,412541,551394,1.00E+11
114041,840,County Durham,2261,Burnhope Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,106,94,39,55,46.5,,Not under a federation,,10007903,North East,(England/Wales) Rural town and fringe,E06000047,418907,547966,1.00E+11
114043,840,County Durham,2266,Castleside Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,140,103,56,47,7.8,,Not under a federation,,10072176,North East,(England/Wales) Rural town and fringe,E06000047,407954,548713,1.00E+11
114045,840,County Durham,2749,Benfieldside Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,357,243,129,114,45.2,,Not under a federation,,10070842,North East,(England/Wales) Urban city and town,E06000047,409519,551995,1.00E+11
114046,840,County Durham,2269,The Grove Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,200,213,96,117,22.9,,Not under a federation,,10077257,North East,(England/Wales) Rural town and fringe,E06000047,409276,550276,1.00E+11
114047,840,County Durham,2272,Delves Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,351,355,168,187,32.8,,Not under a federation,,10073269,North East,(England/Wales) Urban city and town,E06000047,411618,549783,2.00E+11
114050,840,County Durham,2276,Moorside Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,126,140,75,65,41.1,,Supported by a federation,Discovery Federation,10073268,North East,(England/Wales) Rural town and fringe,E06000047,408201,549318,2.00E+11
114051,840,County Durham,2277,Consett Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,220,218,111,107,27.5,,Not under a federation,,10070660,North East,(England/Wales) Urban city and town,E06000047,411404,551353,1.00E+11
114052,840,County Durham,2278,Consett Infant School,Community school,Local authority maintained schools,Open,,,Primary,4,7,180,162,79,83,27.2,,Supported by a federation,Consett Infant & Beechdale,10076465,North East,(England/Wales) Urban city and town,E06000047,411037,551065,1.00E+11
114053,840,County Durham,2301,Hamsterley Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,49,37,26,11,0,,Not under a federation,,10072175,North East,(England/Wales) Rural village,E06000047,411470,531008,10070414024
114054,840,County Durham,2302,Hunwick Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,175,147,77,70,10.9,,Not under a federation,,10072174,North East,(England/Wales) Rural town and fringe,E06000047,419041,532631,1.00E+11
114055,840,County Durham,2307,Tow Law Millennium Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,140,93,44,49,41.9,,Not under a federation,,10072173,North East,(England/Wales) Rural town and fringe,E06000047,411992,538478,1.00E+11
114056,840,County Durham,2308,Crook Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,450,415,213,202,36.9,,Not under a federation,,10077114,North East,(England/Wales) Rural town and fringe,E06000047,416319,535263,10091173486
114058,840,County Durham,2311,Peases West Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,119,110,54,56,53.8,,Not under a federation,,10073267,North East,(England/Wales) Rural village,E06000047,415940,537314,2.00E+11
114059,840,County Durham,2313,Stanley (Crook) Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,137,130,77,53,13.8,,Not under a federation,,10072172,North East,(England/Wales) Rural village,E06000047,416896,538103,1.00E+11
114060,840,County Durham,2316,Sunnybrow Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,119,66,35,31,65.2,,Not under a federation,,10072171,North East,(England/Wales) Rural town and fringe,E06000047,418878,534566,1.00E+11
114061,840,County Durham,2318,Howden-le-Wear Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,175,148,75,73,25,,Not under a federation,,10076991,North East,(England/Wales) Rural town and fringe,E06000047,416111,533322,1.00E+11
114062,840,County Durham,2319,Frosterley Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,84,42,27,15,31,,Not under a federation,,10073266,North East,(England/Wales) Rural village,E06000047,402206,536535,2.00E+11
114063,840,County Durham,2321,Rookhope Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,44,9,4,5,0,,Supported by a federation,Upper Durham Dales Federation,10073265,North East,(England/Wales) Rural village in a sparse setting,E06000047,393661,542906,10022978287
114064,840,County Durham,2322,St John's Chapel Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,60,12,7,5,0,,Supported by a federation,Upper Durham Dales Federation,10070841,North East,(England/Wales) Rural village in a sparse setting,E06000047,388481,538082,2.00E+11
114065,840,County Durham,2324,Wearhead Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,42,23,10,13,8.7,,Supported by a federation,Upper Durham Dales Federation,10072170,North East,(England/Wales) Rural hamlet and isolated dwellings in a sparse setting,E06000047,385665,539626,10022981841
114066,840,County Durham,2326,Willington Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,230,114,116,46.6,,Not under a federation,,10070840,North East,(England/Wales) Rural town and fringe,E06000047,419751,535055,1.00E+11
114067,840,County Durham,2328,Witton-le-Wear Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,100,97,39,58,12.4,,Not under a federation,,10072169,North East,(England/Wales) Rural village,E06000047,414676,531441,1.00E+11
114068,840,County Durham,2329,Wolsingham Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,231,193,104,89,9,,Not under a federation,,10075232,North East,(England/Wales) Rural town and fringe,E06000047,407872,537572,1.00E+11
114069,840,County Durham,2330,Oakley Cross Primary School and Nursery,Community school,Local authority maintained schools,Open,,,Primary,2,11,119,159,79,80,34.1,,Not under a federation,,10073264,North East,(England/Wales) Urban city and town,E06000047,418095,526050,10014557120
114070,840,County Durham,2351,Byers Green Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,105,87,44,43,26.4,,Not under a federation,,10072168,North East,(England/Wales) Rural village,E06000047,421982,534021,10012056806
114074,840,County Durham,2361,Kirk Merrington Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,149,138,68,70,8,,Not under a federation,,10072167,North East,(England/Wales) Rural village,E06000047,426251,531081,1.00E+11
114075,840,County Durham,2362,Cassop Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,178,145,79,66,19.3,,Not under a federation,,10072166,North East,(England/Wales) Rural village,E06000047,433989,537741,10001009737
114078,840,County Durham,2368,Ferryhill Station Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,115,78,42,36,59,,Not under a federation,,10070838,North East,(England/Wales) Rural village,E06000047,430338,531164,1.00E+11
114079,840,County Durham,2370,West Cornforth Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,186,214,110,104,39.2,,Not under a federation,,10073263,North East,(England/Wales) Rural town and fringe,E06000047,431157,534315,1.00E+11
114080,840,County Durham,2372,Coxhoe Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,355,315,152,163,22.2,,Not under a federation,,10072165,North East,(England/Wales) Rural town and fringe,E06000047,431686,535190,2.00E+11
114081,840,County Durham,2374,Kelloe Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,140,127,67,60,34.2,,Not under a federation,,10070837,North East,(England/Wales) Rural town and fringe,E06000047,434140,536477,1.00E+11
114086,840,County Durham,2385,Dean Bank Primary and Nursery School,Community school,Local authority maintained schools,Open,,,Primary,2,11,238,177,97,80,71.2,,Not under a federation,,10073262,North East,(England/Wales) Rural town and fringe,E06000047,428494,532619,1.00E+11
114087,840,County Durham,2388,Bowburn Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,444,366,188,178,27.1,,Not under a federation,,10070659,North East,(England/Wales) Rural town and fringe,E06000047,430704,538181,
114091,840,County Durham,2394,Ox Close Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,307,295,147,148,14.6,,Supported by a federation,Ox Close Federation,10072164,North East,(England/Wales) Urban city and town,E06000047,425529,534338,1.00E+11
114095,840,County Durham,2399,Fishburn Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,209,153,76,77,35.8,,Not under a federation,,10070836,North East,(England/Wales) Rural town and fringe,E06000047,436515,532268,1.00E+11
114096,840,County Durham,2400,Broom Cottages Primary & Nursery School,Community school,Local authority maintained schools,Open,,,Primary,3,11,348,286,135,151,39.9,,Not under a federation,,10070835,North East,(England/Wales) Rural town and fringe,E06000047,429308,532578,1.00E+11
114097,840,County Durham,2401,Etherley Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,343,266,111,155,27.1,,Not under a federation,,10072163,North East,(England/Wales) Urban city and town,E06000047,420606,529502,2.00E+11
114099,840,County Durham,2409,Ramshaw Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,77,64,38,26,23.4,,Not under a federation,,10077113,North East,(England/Wales) Rural town and fringe,E06000047,415180,525798,1.00E+11
114100,840,County Durham,2410,Forest of Teesdale Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,35,6,3,3,33.3,,Supported by a federation,Upper Durham Dales Federation,10072162,North East,(England/Wales) Rural hamlet and isolated dwellings in a sparse setting,E06000047,386782,529868,1.00E+11
114101,840,County Durham,2411,Aycliffe Village Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,175,164,80,84,12.8,,Not under a federation,,10073261,North East,(England/Wales) Urban city and town,E06000047,428470,522677,1.00E+11
114102,840,County Durham,2413,Butterknowle Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,84,42,29,13,9.5,,Not under a federation,,10070834,North East,(England/Wales) Rural hamlet and isolated dwellings,E06000047,410836,525719,10070414018
114103,840,County Durham,2417,Escomb Primary School,Community school,Local authority maintained schools,Open,,,Primary,5,11,210,206,104,102,13.1,,Not under a federation,,10073260,North East,(England/Wales) Rural village,E06000047,418621,529318,1.00E+11
114104,840,County Durham,2419,St Helen Auckland Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,140,210,101,109,35.5,,Not under a federation,,10073259,North East,(England/Wales) Urban city and town,E06000047,418744,526780,2.00E+11
114106,840,County Durham,2423,Thornhill Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,210,207,95,112,25.1,,Not under a federation,,10072161,North East,(England/Wales) Rural town and fringe,E06000047,422509,526785,1.00E+11
114107,840,County Durham,2426,Toft Hill Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,161,194,91,103,9.8,,Not under a federation,,10072160,North East,(England/Wales) Rural town and fringe,E06000047,416329,528119,10034122449
114108,840,County Durham,2428,Woodland Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,42,30,15,15,3.3,,Not under a federation,,10072159,North East,(England/Wales) Rural village,E06000047,407291,526507,10070414019
114109,840,County Durham,2430,Middleton-in-Teesdale Nursery and Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,144,127,68,59,14.7,,Not under a federation,,10070833,North East,(England/Wales) Rural village in a sparse setting,E06000047,395136,525233,10070414011
114110,840,County Durham,2433,Cockton Hill Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,244,206,98,108,40.8,,Not under a federation,,10070658,North East,(England/Wales) Urban city and town,E06000047,421105,528657,2.00E+11
114111,840,County Durham,2434,Cockton Hill Infant School,Community school,Local authority maintained schools,Open,,,Primary,2,7,180,143,79,64,52.4,,Not under a federation,,10076464,North East,(England/Wales) Urban city and town,E06000047,421105,528657,2.00E+11
114113,840,County Durham,2438,Timothy Hackworth Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,420,422,226,196,49.7,,Not under a federation,,10077112,North East,(England/Wales) Rural town and fringe,E06000047,422729,525962,1.00E+11
114114,840,County Durham,2440,Cockfield Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,119,111,51,60,32.7,,Not under a federation,,10070832,North East,(England/Wales) Rural town and fringe,E06000047,412270,524223,10034122898
114115,840,County Durham,2442,Montalbo Nursery & Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,195,97,98,11.4,,Not under a federation,,10070831,North East,(England/Wales) Rural town and fringe,E06000047,405192,517031,1.00E+11
114119,840,County Durham,2453,New Brancepeth Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,119,135,59,76,36.9,,Supported by a federation,Discovery Federation,10070830,North East,(England/Wales) Rural town and fringe,E06000047,422623,541514,10014567801
114120,840,County Durham,2455,Langley Moor Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,214,205,92,113,18,,Not under a federation,,10072158,North East,(England/Wales) Rural town and fringe,E06000047,425156,540637,2.00E+11
114122,840,County Durham,2462,Witton Gilbert Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,203,199,100,99,14.6,,Not under a federation,,10072157,North East,(England/Wales) Rural town and fringe,E06000047,423376,545797,1.00E+11
114125,840,County Durham,2470,Pittington Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,218,118,100,12.1,,Not under a federation,,10070829,North East,(England/Wales) Rural town and fringe,E06000047,432896,544049,1.00E+11
114126,840,County Durham,2472,Ludworth Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,93,108,57,51,43.3,,Not under a federation,,10073258,North East,(England/Wales) Rural village,E06000047,435973,541322,1.00E+11
114127,840,County Durham,2473,Sherburn Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,315,155,78,77,32.9,,Not under a federation,,10072156,North East,(England/Wales) Rural town and fringe,E06000047,432108,542616,2.00E+11
114128,840,County Durham,2475,West Rainton Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,168,125,67,58,49.6,,Not under a federation,,10073257,North East,(England/Wales) Rural town and fringe,E06000047,431618,546449,1.00E+11
114129,840,County Durham,2477,Bearpark Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,126,105,57,48,28.6,,Not under a federation,,10073256,North East,(England/Wales) Rural town and fringe,E06000047,423851,543492,1.00E+11
114130,840,County Durham,2481,Neville's Cross Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,287,288,145,143,6.6,,Not under a federation,,10072155,North East,(England/Wales) Urban city and town,E06000047,426070,541959,1.00E+11
114134,840,County Durham,2488,Durham Newton Hall Infants' School,Community school,Local authority maintained schools,Open,,,Primary,4,7,180,163,85,78,9.2,,Not under a federation,,10076463,North East,(England/Wales) Urban city and town,E06000047,427457,544734,1.00E+11
114138,840,County Durham,2497,Esh Winning Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,350,293,160,133,30.5,,Not under a federation,,10070828,North East,(England/Wales) Rural town and fringe,E06000047,418847,541431,10091174126
114139,840,County Durham,2498,Belmont Cheveley Park Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,230,207,111,96,14,,Not under a federation,,10077256,North East,(England/Wales) Urban city and town,E06000047,431076,543853,2.00E+11
114140,840,County Durham,2499,Laurel Avenue Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,112,129,69,60,58.5,,Not under a federation,,10070827,North East,(England/Wales) Urban city and town,E06000047,429021,542432,1.00E+11
114143,840,County Durham,2509,Hesleden Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,134,117,55,62,23.2,,Not under a federation,,10070826,North East,(England/Wales) Rural village,E06000047,444322,538209,1.00E+11
114144,840,County Durham,2516,Deaf Hill Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,182,189,101,88,59.3,,Not under a federation,,10073255,North East,(England/Wales) Rural town and fringe,E06000047,437885,536503,10013055297
114146,840,County Durham,2523,Thornley Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,200,109,91,28.6,,Not under a federation,,10070825,North East,(England/Wales) Rural town and fringe,E06000047,436448,539978,1.00E+11
114147,840,County Durham,2526,Wheatley Hill Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,251,301,151,150,38.1,,Not under a federation,,10077111,North East,(England/Wales) Rural town and fringe,E06000047,437404,538838,1.00E+11
114149,840,County Durham,2531,Wingate Primary School,Community school,Local authority maintained schools,Open,,,Primary,5,11,357,372,197,175,31.7,,Not under a federation,,10076462,North East,(England/Wales) Rural town and fringe,E06000047,440043,537022,10013057126
114150,840,County Durham,2532,Cotsford Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,166,150,74,76,47.3,,Not under a federation,,10070657,North East,(England/Wales) Urban city and town,E06000047,444497,541055,1.00E+11
114152,840,County Durham,2536,Shotton Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,426,332,173,159,39.2,,Not under a federation,,10070824,North East,(England/Wales) Urban city and town,E06000047,439406,541228,1.00E+11
114154,840,County Durham,2540,Acre Rigg Infant School,Community school,Local authority maintained schools,Open,,,Primary,2,7,189,293,138,155,39.3,,Not under a federation,,10076460,North East,(England/Wales) Urban city and town,E06000047,442031,541496,1.00E+11
114159,840,County Durham,2563,Sedgefield Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,212,200,106,94,5.5,,Not under a federation,,10070823,North East,(England/Wales) Rural town and fringe,E06000047,435545,528673,2.00E+11
114161,840,County Durham,2593,Sedgefield Hardwick Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,211,257,135,122,9.6,,Not under a federation,,10073254,North East,(England/Wales) Rural town and fringe,E06000047,435715,529452,1.00E+11
114183,841,Darlington,2669,Red Hall Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,279,230,111,119,45.3,,Not under a federation,,10073253,North East,(England/Wales) Urban city and town,E06000005,431299,515621,1.00E+11
114187,840,County Durham,2704,Copeland Road Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,169,149,75,74,20.1,,Not under a federation,,10072154,North East,(England/Wales) Urban city and town,E06000047,417736,525983,2.00E+11
114188,840,County Durham,2705,St Andrew's Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,150,132,71,61,54.5,,Not under a federation,,10070822,North East,(England/Wales) Urban city and town,E06000047,421483,528381,2.00E+11
114189,840,County Durham,2706,Byerley Park Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,210,210,97,113,10.5,,Not under a federation,,10072153,North East,(England/Wales) Urban city and town,E06000047,426119,525621,1.00E+11
114190,840,County Durham,2708,Horndale Infants' School,Community school,Local authority maintained schools,Open,,,Primary,3,7,216,121,71,50,56.3,,Not under a federation,,10076459,North East,(England/Wales) Urban city and town,E06000047,426310,525256,1.00E+11
114193,840,County Durham,2729,Langley Park Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,297,197,105,92,28.6,,Not under a federation,,10073252,North East,(England/Wales) Rural town and fringe,E06000047,421165,544702,1.00E+11
114197,840,County Durham,2733,Yohden Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,270,172,99,73,36.6,,Not under a federation,,10072152,North East,(England/Wales) Urban city and town,E06000047,444625,540861,1.00E+11
114198,840,County Durham,2734,Howletch Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,379,428,219,209,26.1,,Not under a federation,,10077255,North East,(England/Wales) Urban city and town,E06000047,441677,540620,1.00E+11
114201,840,County Durham,2737,Blackhall Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,360,326,168,158,31.5,,Not under a federation,,10073251,North East,(England/Wales) Urban city and town,E06000047,445582,539522,1.00E+11
114206,840,County Durham,2742,Vane Road Primary School,Community school,Local authority maintained schools,Open,,,Primary,5,11,420,401,212,189,19.7,,Not under a federation,,10073250,North East,(England/Wales) Urban city and town,E06000047,428545,525383,2.00E+11
114207,840,County Durham,2743,Sugar Hill Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,468,465,236,229,25.5,,Not under a federation,,10070821,North East,(England/Wales) Urban city and town,E06000047,427892,524834,1.00E+11
114208,840,County Durham,2744,Roseberry Primary and Nursery School,Community school,Local authority maintained schools,Open,,,Primary,2,11,343,252,122,130,28.2,,Not under a federation,,10073249,North East,(England/Wales) Urban major conurbation,E06000047,424203,552474,1.00E+11
114209,840,County Durham,2745,Bullion Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,315,301,146,155,53.4,,Not under a federation,,10073248,North East,(England/Wales) Urban major conurbation,E06000047,426802,551024,1.00E+11
114210,840,County Durham,2746,Easington Colliery Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,567,529,282,247,38.4,,Not under a federation,,10077110,North East,(England/Wales) Rural town and fringe,E06000047,442597,543786,1.00E+11
114211,840,County Durham,2747,Durham Gilesgate Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,210,146,78,68,52.7,,Not under a federation,,10076990,North East,(England/Wales) Urban city and town,E06000047,429240,543218,2.00E+11
114213,840,County Durham,3031,Chester-Le-Street CofE (Controlled) Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,418,284,156,128,30.3,,Not under a federation,,10073792,North East,(England/Wales) Urban major conurbation,E06000047,426741,552041,10093045192
114214,840,County Durham,3063,Ebchester CofE Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,5,11,105,92,52,40,12,,Not under a federation,,10071028,North East,(England/Wales) Rural village,E06000047,410407,555404,10014555485
114216,840,County Durham,3085,St Stephen's Church of England Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,3,11,203,211,103,108,29.8,,Not under a federation,,10077416,North East,(England/Wales) Rural town and fringe,E06000047,420183,534828,2.00E+11
114219,840,County Durham,3121,Green Lane Church of England Controlled Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,270,219,120,99,20.5,,Not under a federation,,10046049,North East,(England/Wales) Rural town and fringe,E06000047,405922,516763,1.00E+11
114220,840,County Durham,3123,St Anne's CofE Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,3,11,236,216,115,101,15.7,,Not under a federation,,10077414,North East,(England/Wales) Urban city and town,E06000047,420380,528717,2.00E+11
114221,840,County Durham,3130,Evenwood CofE Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,3,11,120,103,51,52,43.8,,Supported by a federation,Five Stones Learning Federation,10077413,North East,(England/Wales) Rural town and fringe,E06000047,415278,525037,10070414017
114222,840,County Durham,3131,Gainford CofE Primary School and Preschool,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,3,11,100,68,41,27,8.8,,Not under a federation,,10074263,North East,(England/Wales) Rural town and fringe,E06000047,416904,516824,1.00E+11
114226,840,County Durham,3141,Staindrop CofE (Controlled) Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,3,11,210,169,90,79,14.8,,Not under a federation,,10077412,North East,(England/Wales) Rural town and fringe,E06000047,413220,520518,10070414009
114227,840,County Durham,3161,Belmont CofE (Controlled) Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,3,11,361,272,133,139,6.6,,Not under a federation,,10074262,North East,(England/Wales) Urban city and town,E06000047,430490,543494,1.00E+11
114228,840,County Durham,3165,St Oswald's Church of England Aided Primary and Nursery School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,140,154,80,74,7,,Not under a federation,,10075841,North East,(England/Wales) Urban city and town,E06000047,427634,541870,1.00E+11
114229,840,County Durham,3167,Shincliffe CofE (Controlled) Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,215,205,98,107,4.4,,Not under a federation,,10073791,North East,(England/Wales) Rural town and fringe,E06000047,429692,540150,10001011689
114230,840,County Durham,3168,St Margaret's Church of England Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,420,420,215,205,4.8,,Not under a federation,,10073790,North East,(England/Wales) Urban city and town,E06000047,426663,541983,10013260145
114231,840,County Durham,3182,Easington CofE Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,147,131,49,82,13,,Not under a federation,,10073789,North East,(England/Wales) Rural town and fringe,E06000047,441299,543420,1.00E+11
114232,840,County Durham,3183,Hutton Henry CofE (Controlled) Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,58,76,36,40,25,,Not under a federation,,10073788,North East,(England/Wales) Rural village,E06000047,442336,536182,10013058562
114235,840,County Durham,3300,St Cuthbert's Roman Catholic Voluntary Aided Primary School New Seaham,Voluntary aided school,Local authority maintained schools,Open but proposed to close,,30/06/2021,Primary,5,11,210,196,103,93,16.3,,Not under a federation,,10069798,North East,(England/Wales) Urban city and town,E06000047,440680,549832,1.00E+11
114236,840,County Durham,3301,St Mary Magdalen's Roman Catholic Voluntary Aided Primary School Seaham,Voluntary aided school,Local authority maintained schools,Open,,,Primary,5,11,269,290,150,140,9.7,,Not under a federation,,10069797,North East,(England/Wales) Urban city and town,E06000047,442427,549727,1.00E+11
114237,840,County Durham,3303,Bowes Hutchinson's CofE (Aided) School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,70,57,31,26,15.8,,Not under a federation,,10075840,North East,(England/Wales) Rural hamlet and isolated dwellings in a sparse setting,E06000047,399221,513578,10070414008
114247,840,County Durham,3384,St Mary's Roman Catholic Voluntary Aided Primary School South Moor,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,147,132,76,56,35.6,,Not under a federation,,10069791,North East,(England/Wales) Urban city and town,E06000047,419675,551699,1.00E+11
114249,840,County Durham,3403,St Pius X Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,5,11,105,97,45,52,14.4,,Not under a federation,,10069789,North East,(England/Wales) Rural town and fringe,E06000047,409156,550108,2.00E+11
114250,840,County Durham,3404,St Patrick's Roman Catholic Voluntary Aided Primary School Consett,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,450,421,219,202,13.1,,Not under a federation,,10069788,North East,(England/Wales) Urban city and town,E06000047,410945,551216,2.00E+11
114253,840,County Durham,3409,Our Lady and St Joseph's Roman Catholic Voluntary Aided Primary School Brooms,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,120,108,54,54,19.4,,Not under a federation,,10069786,North East,(England/Wales) Urban city and town,E06000047,413068,551793,10014561481
114255,840,County Durham,3413,All Saints' Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open but proposed to close,,30/06/2022,Primary,4,11,210,179,87,92,6.1,,Not under a federation,,10069785,North East,(England/Wales) Rural town and fringe,E06000047,416325,547747,2.00E+11
114256,840,County Durham,3421,St Cuthberts Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,184,98,86,27.7,,Not under a federation,,10069784,North East,(England/Wales) Rural town and fringe,E06000047,416820,535787,2.00E+11
114257,840,County Durham,3425,Our Lady and St Thomas Roman Catholic Voluntary Aided Primary,Voluntary aided school,Local authority maintained schools,Open but proposed to close,,31/05/2021,Primary,4,11,119,120,63,57,22.5,,Not under a federation,,10069783,North East,(England/Wales) Rural town and fringe,E06000047,419562,535376,2.00E+11
114258,840,County Durham,3441,St. Michael's C of E Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,120,118,65,53,9.3,,Supported by a federation,Five Stones Learning Federation,10077411,North East,(England/Wales) Rural town and fringe,E06000047,433091,531374,1.00E+11
